date,sleep_score,sleep_total_hours,sleep_deep_hours,sleep_light_hours,sleep_rem_hours,sleep_awake_min,hrv_last_night_avg,hrv_weekly_avg,stress_overall,body_battery_charged,body_battery_drained,activity_steps,activity_distance_km,activity_active_calories,activity_resting_hr,activity_max_hr,activity_moderate_intensity_min,activity_vigorous_intensity_min,activity_floors_climbed
2025-11-09,72.0,5.7,1.58,3.32,0.8,0.0,60.0,47.0,,66.0,78.0,3561.0,2.87,132.0,52.0,115.0,0.0,0.0,1.53675
2025-11-10,80.0,7.43,1.15,4.58,1.7,4.0,57.0,49.0,,72.0,65.0,9331.0,8.38,581.0,54.0,143.0,4.0,7.0,14.74081
2025-11-11,86.0,7.65,1.27,4.8,1.58,6.0,59.0,51.0,,76.0,55.0,10024.0,9.88,667.0,52.0,164.0,25.0,26.0,16.0
2025-11-12,94.0,8.05,1.63,4.28,2.13,9.0,56.0,51.0,,77.0,80.0,9739.0,8.16,957.0,50.0,162.0,24.0,4.0,15.0
2025-11-13,79.0,7.42,1.78,4.08,1.55,31.0,46.0,51.0,,61.0,67.0,12640.0,10.7,883.0,51.0,155.0,24.0,15.0,22.50919
2025-11-14,67.0,5.37,0.82,3.32,1.23,4.0,48.0,52.0,,61.0,62.0,10063.0,8.71,1021.0,54.0,157.0,23.0,6.0,4.53182
2025-11-15,65.0,5.72,1.57,3.48,0.68,38.0,49.0,53.0,,69.0,67.0,13935.0,11.29,975.0,52.0,166.0,22.0,20.0,7.68077
2025-11-16,57.0,4.53,2.05,1.92,0.57,8.0,56.0,53.0,,60.0,62.0,7412.0,5.9,337.0,53.0,141.0,5.0,0.0,2.62238
2025-11-17,67.0,6.18,1.85,3.45,0.88,29.0,52.0,52.0,,82.0,78.0,8208.0,7.14,575.0,50.0,138.0,9.0,5.0,2.49409
2025-11-18,78.0,6.47,0.9,4.5,1.07,0.0,61.0,52.0,,86.0,79.0,11612.0,9.84,941.0,50.0,158.0,23.0,5.0,19.15387
2025-11-19,92.0,7.77,1.47,4.62,1.68,1.0,66.0,53.0,,88.0,76.0,10383.0,9.05,841.0,51.0,155.0,29.0,12.0,5.0
2025-11-20,88.0,7.27,1.68,4.05,1.53,12.0,67.0,57.0,,71.0,92.0,7466.0,6.59,867.0,49.0,163.0,24.0,9.0,24.22933
2025-11-21,41.0,4.58,0.85,3.43,0.3,90.0,44.0,56.0,,32.0,28.0,12598.0,10.11,937.0,54.0,158.0,23.0,8.0,13.27723
2025-11-22,45.0,4.75,0.62,4.02,0.12,57.0,46.0,55.0,,53.0,34.0,4180.0,3.38,634.0,55.0,153.0,31.0,3.0,2.02198
2025-11-23,63.0,5.12,1.35,3.33,0.45,0.0,62.0,56.0,,71.0,76.0,11726.0,9.35,533.0,50.0,121.0,0.0,0.0,4.41995
2025-11-24,50.0,3.95,1.35,2.05,0.55,1.0,48.0,55.0,,55.0,55.0,7139.0,5.71,1026.0,51.0,172.0,38.0,16.0,27.2897
2025-11-25,86.0,7.48,1.37,4.58,1.53,2.0,56.0,55.0,,79.0,76.0,8653.0,7.02,386.0,51.0,130.0,0.0,0.0,8.2628
2025-11-26,44.0,3.75,1.07,2.68,0.0,13.0,52.0,53.0,,67.0,42.0,3836.0,3.05,211.0,56.0,110.0,0.0,0.0,0.0
2025-11-27,52.0,4.93,0.93,3.9,0.1,18.0,41.0,49.0,,58.0,48.0,6208.0,5.16,233.0,52.0,116.0,0.0,0.0,6.48885
2025-11-28,96.0,8.53,1.6,5.07,1.87,3.0,60.0,52.0,,60.0,93.0,7355.0,5.92,440.0,50.0,125.0,0.0,0.0,4.30217
2025-11-29,82.0,7.5,2.07,3.68,1.75,17.0,46.0,52.0,,62.0,61.0,7352.0,5.89,259.0,52.0,134.0,0.0,0.0,13.0
2025-11-30,73.0,5.7,1.03,3.68,1.0,5.0,57.0,51.0,,73.0,77.0,3522.0,2.81,72.0,48.0,102.0,0.0,0.0,0.79003
2025-12-01,54.0,7.58,1.27,4.78,1.53,87.0,52.0,52.0,,82.0,77.0,6296.0,5.01,247.0,50.0,111.0,0.0,0.0,6.03314
2025-12-02,52.0,4.87,0.82,3.6,0.45,31.0,38.0,49.0,,39.0,37.0,7760.0,29.68,446.0,55.0,113.0,0.0,0.0,79.15945
2025-12-03,81.0,8.42,1.12,5.32,1.98,45.0,47.0,48.0,,82.0,75.0,3005.0,2.46,164.0,52.0,118.0,0.0,0.0,1.03609
2025-12-04,,,,,,,60.0,49.0,,28.0,6.0,2443.0,1.95,79.0,55.0,103.0,0.0,0.0,0.7605
2025-12-05,86.0,8.38,1.0,5.63,1.75,10.0,,,,61.0,92.0,11208.0,9.23,694.0,48.0,143.0,19.0,15.0,13.00886
2025-12-06,52.0,5.63,0.52,5.0,0.12,49.0,46.0,49.0,,40.0,42.0,14487.0,12.29,834.0,55.0,144.0,20.0,12.0,12.64633
2025-12-07,79.0,6.5,0.98,3.93,1.58,0.0,55.0,49.0,,105.0,41.0,8487.0,6.76,148.0,54.0,114.0,0.0,0.0,23.40715
2025-12-08,82.0,8.99,0.87,6.3,1.83,11.0,58.0,50.0,,33.0,81.0,14862.0,11.83,352.0,53.0,112.0,0.0,0.0,24.15584
2025-12-09,72.0,6.82,0.92,4.48,1.42,21.0,49.0,52.0,,41.0,57.0,8040.0,7.09,703.0,57.0,153.0,17.0,5.0,12.0
